Starting grid search with num_random_contexts=1 and embedding_pool_strategy=last
Model name: meta-llama/Llama-3.1-8B-Instruct
Context sample strategy: random
Num random contexts: 1
Embedding pool strategy: last
Num train epochs: 10
Force reload data: false
VPL data for PRISM already exists. Skipping data generation.
20744 5134
trainable params: 71,303,168 || all params: 7,593,005,056 || trainable%: 0.9391
{'train_recon_loss': 0.6928728222846985, 'train_kld': 1.544816404930316e-05, 'train_accuracy': 0.75, 'rewards_chosen': -0.08184814453125, 'rewards_rejected': -0.0823974609375, 'embeddings_chosen': 0.0003662109375, 'embeddings_rejected': 9.441375732421875e-05, 'mean': -0.0033654682338237762, 'log_var': 0.004898861516267061, 'epoch': 0}
{'train_recon_loss': 0.6935136914253235, 'train_kld': 9.672274609329179e-05, 'train_accuracy': 0.25, 'rewards_chosen': -0.0560302734375, 'rewards_rejected': -0.0552978515625, 'embeddings_chosen': 0.000141143798828125, 'embeddings_rejected': 0.0001888275146484375, 'mean': -0.0025597938802093267, 'log_var': 0.005872037727385759, 'epoch': 0.0}
{'train_recon_loss': 0.6949059367179871, 'train_kld': 9.566904191160575e-05, 'train_accuracy': 0.25, 'rewards_chosen': -0.0445556640625, 'rewards_rejected': -0.041046142578125, 'embeddings_chosen': 0.00011205673217773438, 'embeddings_rejected': 0.0003185272216796875, 'mean': -0.002772008301690221, 'log_var': 0.004812449216842651, 'epoch': 0.0}
{'train_recon_loss': 0.6932085752487183, 'train_kld': 9.312554175266996e-05, 'train_accuracy': 0.75, 'rewards_chosen': -0.0582275390625, 'rewards_rejected': -0.05810546875, 'embeddings_chosen': 0.0003757476806640625, 'embeddings_rejected': 0.000335693359375, 'mean': -0.003672174410894513, 'log_var': 0.005723324604332447, 'epoch': 0.0}
{'train_recon_loss': 0.6925380229949951, 'train_kld': 0.00010467269021319225, 'train_accuracy': 0.5, 'rewards_chosen': -0.0880126953125, 'rewards_rejected': -0.0892333984375, 'embeddings_chosen': 0.00022029876708984375, 'embeddings_rejected': -7.486343383789062e-05, 'mean': -0.0029672919772565365, 'log_var': 0.005279263481497765, 'epoch': 0.0}
{'train_recon_loss': 0.6930864453315735, 'train_kld': 9.465953189646825e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.09356689453125, 'rewards_rejected': -0.09368896484375, 'embeddings_chosen': 0.000579833984375, 'embeddings_rejected': 0.00048828125, 'mean': -0.003563838079571724, 'log_var': 0.005075347609817982, 'epoch': 0.0}
{'train_recon_loss': 0.6927512288093567, 'train_kld': 9.697710629552603e-05, 'train_accuracy': 0.75, 'rewards_chosen': -0.06085205078125, 'rewards_rejected': -0.0616455078125, 'embeddings_chosen': 0.0002593994140625, 'embeddings_rejected': 0.0003528594970703125, 'mean': -0.004277746193110943, 'log_var': 0.0057264044880867004, 'epoch': 0.0}
{'train_recon_loss': 0.6945375204086304, 'train_kld': 0.00010248171020066366, 'train_accuracy': 0.25, 'rewards_chosen': -0.05328369140625, 'rewards_rejected': -0.050506591796875, 'embeddings_chosen': 0.0001583099365234375, 'embeddings_rejected': 0.000453948974609375, 'mean': -0.004534340463578701, 'log_var': 0.0050574298948049545, 'epoch': 0.0}
{'train_recon_loss': 0.6934225559234619, 'train_kld': 0.00010034679144155234, 'train_accuracy': 0.25, 'rewards_chosen': -0.04876708984375, 'rewards_rejected': -0.0482177734375, 'embeddings_chosen': 5.5789947509765625e-05, 'embeddings_rejected': 6.580352783203125e-05, 'mean': -0.003815698204562068, 'log_var': 0.004470791667699814, 'epoch': 0.0}
{'train_recon_loss': 0.6933626532554626, 'train_kld': 0.000128858198877424, 'train_accuracy': 0.5, 'rewards_chosen': -0.07135009765625, 'rewards_rejected': -0.0709228515625, 'embeddings_chosen': 0.0003299713134765625, 'embeddings_rejected': 0.0003452301025390625, 'mean': -0.002670030575245619, 'log_var': 0.004941923543810844, 'epoch': 0.0}
{'train_recon_loss': 0.6931169629096985, 'train_kld': 9.722375398268923e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.05169677734375, 'rewards_rejected': -0.0517578125, 'embeddings_chosen': 0.000431060791015625, 'embeddings_rejected': 0.0003662109375, 'mean': -0.0044929697178304195, 'log_var': 0.003795948810875416, 'epoch': 0.0}
{'train_recon_loss': 0.6930254101753235, 'train_kld': 0.00010032612772192806, 'train_accuracy': 0.25, 'rewards_chosen': -0.06640625, 'rewards_rejected': -0.066650390625, 'embeddings_chosen': 0.0003204345703125, 'embeddings_rejected': 0.0001544952392578125, 'mean': -0.0022783796302974224, 'log_var': 0.004685978405177593, 'epoch': 0.0}
{'train_recon_loss': 0.6930559277534485, 'train_kld': 9.829625196289271e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.07098388671875, 'rewards_rejected': -0.0711669921875, 'embeddings_chosen': 0.000225067138671875, 'embeddings_rejected': 0.0005035400390625, 'mean': -0.00292463437654078, 'log_var': 0.0037496709264814854, 'epoch': 0.0}
{'train_recon_loss': 0.6941858530044556, 'train_kld': 9.657551709096879e-05, 'train_accuracy': 0.0, 'rewards_chosen': -0.07177734375, 'rewards_rejected': -0.0697021484375, 'embeddings_chosen': 0.0003108978271484375, 'embeddings_rejected': 0.0003261566162109375, 'mean': -0.0029557107482105494, 'log_var': 0.0053468430414795876, 'epoch': 0.0}
{'train_recon_loss': 0.6922322511672974, 'train_kld': 9.812320058699697e-05, 'train_accuracy': 1.0, 'rewards_chosen': -0.06591796875, 'rewards_rejected': -0.0677490234375, 'embeddings_chosen': 0.00013065338134765625, 'embeddings_rejected': 0.000240325927734375, 'mean': -0.0035987491719424725, 'log_var': 0.0046854037791490555, 'epoch': 0.0}
{'train_recon_loss': 0.6946001052856445, 'train_kld': 9.85591032076627e-05, 'train_accuracy': 0.25, 'rewards_chosen': -0.04815673828125, 'rewards_rejected': -0.045257568359375, 'embeddings_chosen': 0.00055694580078125, 'embeddings_rejected': 0.0004634857177734375, 'mean': -0.00423467019572854, 'log_var': 0.00511518120765686, 'epoch': 0.0}
{'train_recon_loss': 0.6929495334625244, 'train_kld': 0.00010817758447956294, 'train_accuracy': 0.25, 'rewards_chosen': -0.0494384765625, 'rewards_rejected': -0.049835205078125, 'embeddings_chosen': 7.62939453125e-05, 'embeddings_rejected': 0.00012969970703125, 'mean': -0.003291707718744874, 'log_var': 0.0054360306821763515, 'epoch': 0.0}
{'train_recon_loss': 0.6933916807174683, 'train_kld': 9.759095701156184e-05, 'train_accuracy': 0.25, 'rewards_chosen': -0.07110595703125, 'rewards_rejected': -0.07061767578125, 'embeddings_chosen': 0.0004482269287109375, 'embeddings_rejected': 0.00054931640625, 'mean': -0.002652916591614485, 'log_var': 0.0030129156075417995, 'epoch': 0.0}
{'train_recon_loss': 0.6927821636199951, 'train_kld': 8.947274909587577e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.084228515625, 'rewards_rejected': -0.0849609375, 'embeddings_chosen': 0.000270843505859375, 'embeddings_rejected': 0.000255584716796875, 'mean': -0.0035347561351954937, 'log_var': 0.004114632960408926, 'epoch': 0.0}
{'train_recon_loss': 0.6897616982460022, 'train_kld': 0.00010231233318336308, 'train_accuracy': 1.0, 'rewards_chosen': -0.049945831298828125, 'rewards_rejected': -0.056732177734375, 'embeddings_chosen': 0.000362396240234375, 'embeddings_rejected': 0.0002613067626953125, 'mean': -0.0020715424325317144, 'log_var': 0.0033088396303355694, 'epoch': 0.01}
{'train_recon_loss': 0.6927511096000671, 'train_kld': 9.419034176971763e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.07965087890625, 'rewards_rejected': -0.0804443359375, 'embeddings_chosen': 0.0002117156982421875, 'embeddings_rejected': 0.00020599365234375, 'mean': -0.0028083259239792824, 'log_var': 0.006542718503624201, 'epoch': 0.01}
{'train_recon_loss': 0.6915780305862427, 'train_kld': 8.828978025121614e-05, 'train_accuracy': 0.75, 'rewards_chosen': -0.055419921875, 'rewards_rejected': -0.058563232421875, 'embeddings_chosen': 0.00010061264038085938, 'embeddings_rejected': 0.00029754638671875, 'mean': -0.0023554915096610785, 'log_var': 0.004985067993402481, 'epoch': 0.01}
{'train_recon_loss': 0.6932262182235718, 'train_kld': 9.257916826754808e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.051544189453125, 'rewards_rejected': -0.0513916015625, 'embeddings_chosen': 0.0003223419189453125, 'embeddings_rejected': 0.00045013427734375, 'mean': -0.0028892429545521736, 'log_var': 0.005183642730116844, 'epoch': 0.01}
{'train_recon_loss': 0.6934248805046082, 'train_kld': 9.280374069930986e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.05462646484375, 'rewards_rejected': -0.0540771484375, 'embeddings_chosen': 0.000522613525390625, 'embeddings_rejected': 0.000518798828125, 'mean': -0.002266096882522106, 'log_var': 0.004124835599213839, 'epoch': 0.01}
{'train_recon_loss': 0.6941853761672974, 'train_kld': 0.00010012950951931998, 'train_accuracy': 0.0, 'rewards_chosen': -0.05548095703125, 'rewards_rejected': -0.05340576171875, 'embeddings_chosen': 0.0003948211669921875, 'embeddings_rejected': 5.435943603515625e-05, 'mean': -0.0038332976400852203, 'log_var': 0.0060822018422186375, 'epoch': 0.01}
{'train_recon_loss': 0.6929336190223694, 'train_kld': 9.519676677882671e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.07806396484375, 'rewards_rejected': -0.0784912109375, 'embeddings_chosen': 0.0002288818359375, 'embeddings_rejected': 0.0003566741943359375, 'mean': -0.0037516485899686813, 'log_var': 0.003501403843984008, 'epoch': 0.01}
{'train_recon_loss': 0.6943732500076294, 'train_kld': 0.0001057469125953503, 'train_accuracy': 0.5, 'rewards_chosen': -0.05364990234375, 'rewards_rejected': -0.05120849609375, 'embeddings_chosen': 0.0002765655517578125, 'embeddings_rejected': 0.0002269744873046875, 'mean': -0.002060309052467346, 'log_var': 0.004018999636173248, 'epoch': 0.01}
{'train_recon_loss': 0.6922264099121094, 'train_kld': 9.903878526529297e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.046295166015625, 'rewards_rejected': -0.0481414794921875, 'embeddings_chosen': 0.000141143798828125, 'embeddings_rejected': 0.00014591217041015625, 'mean': -0.0030911541543900967, 'log_var': 0.005339778494089842, 'epoch': 0.01}
{'train_recon_loss': 0.6911685466766357, 'train_kld': 0.00010334599937777966, 'train_accuracy': 0.75, 'rewards_chosen': -0.0489501953125, 'rewards_rejected': -0.05291748046875, 'embeddings_chosen': 0.0003299713134765625, 'embeddings_rejected': 0.0003833770751953125, 'mean': -0.0027313819155097008, 'log_var': 0.005802147090435028, 'epoch': 0.01}
{'train_recon_loss': 0.6928728818893433, 'train_kld': 9.34906565817073e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.06903076171875, 'rewards_rejected': -0.069580078125, 'embeddings_chosen': 0.00011014938354492188, 'embeddings_rejected': 0.000286102294921875, 'mean': -0.004102315753698349, 'log_var': 0.004507973790168762, 'epoch': 0.01}
{'train_recon_loss': 0.6937317252159119, 'train_kld': 9.637297625886276e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.03289794921875, 'rewards_rejected': -0.03173828125, 'embeddings_chosen': 0.0003147125244140625, 'embeddings_rejected': 0.0002498626708984375, 'mean': -0.00245086126960814, 'log_var': 0.005835053510963917, 'epoch': 0.01}
{'train_recon_loss': 0.6925835013389587, 'train_kld': 0.00010118113277712837, 'train_accuracy': 0.75, 'rewards_chosen': -0.041961669921875, 'rewards_rejected': -0.0430908203125, 'embeddings_chosen': 0.0003528594970703125, 'embeddings_rejected': 0.00018215179443359375, 'mean': -0.0029006649274379015, 'log_var': 0.006203599274158478, 'epoch': 0.01}
{'train_recon_loss': 0.6937320232391357, 'train_kld': 0.00010508309060242027, 'train_accuracy': 0.5, 'rewards_chosen': -0.0701904296875, 'rewards_rejected': -0.06903076171875, 'embeddings_chosen': 0.00022220611572265625, 'embeddings_rejected': 9.250640869140625e-05, 'mean': -0.004208676982671022, 'log_var': 0.004178175702691078, 'epoch': 0.01}
{'train_recon_loss': 0.6925083994865417, 'train_kld': 9.539606980979443e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.05157470703125, 'rewards_rejected': -0.0528564453125, 'embeddings_chosen': 0.00023746490478515625, 'embeddings_rejected': 0.0002651214599609375, 'mean': -0.0037915343418717384, 'log_var': 0.00490005686879158, 'epoch': 0.01}
{'train_recon_loss': 0.6930263638496399, 'train_kld': 9.432785009266809e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.07489013671875, 'rewards_rejected': -0.07513427734375, 'embeddings_chosen': 0.00040435791015625, 'embeddings_rejected': 3.075599670410156e-05, 'mean': -0.0033845193684101105, 'log_var': 0.004117969423532486, 'epoch': 0.01}
{'train_recon_loss': 0.6959054470062256, 'train_kld': 9.414286614628509e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.0595703125, 'rewards_rejected': -0.0540771484375, 'embeddings_chosen': 0.00048828125, 'embeddings_rejected': 0.0003795623779296875, 'mean': -0.002925139619037509, 'log_var': 0.005388699937611818, 'epoch': 0.01}
{'train_recon_loss': 0.694247305393219, 'train_kld': 0.00010033680882770568, 'train_accuracy': 0.25, 'rewards_chosen': -0.049102783203125, 'rewards_rejected': -0.046905517578125, 'embeddings_chosen': 0.00018310546875, 'embeddings_rejected': 0.00015735626220703125, 'mean': -0.0026914989575743675, 'log_var': 0.005702150985598564, 'epoch': 0.01}
{'train_recon_loss': 0.6924036741256714, 'train_kld': 9.572874114383012e-05, 'train_accuracy': 0.75, 'rewards_chosen': -0.04732775688171387, 'rewards_rejected': -0.048816680908203125, 'embeddings_chosen': 0.000301361083984375, 'embeddings_rejected': 0.0002994537353515625, 'mean': -0.003428039839491248, 'log_var': 0.005478686653077602, 'epoch': 0.01}
{'train_recon_loss': 0.6911680698394775, 'train_kld': 0.00010364364425186068, 'train_accuracy': 0.75, 'rewards_chosen': -0.06494140625, 'rewards_rejected': -0.06890869140625, 'embeddings_chosen': 0.0003795623779296875, 'embeddings_rejected': 0.0001926422119140625, 'mean': -0.0028511674609035254, 'log_var': 0.004347281530499458, 'epoch': 0.01}
{'train_recon_loss': 0.6928423643112183, 'train_kld': 0.00010666548041626811, 'train_accuracy': 0.5, 'rewards_chosen': -0.05499267578125, 'rewards_rejected': -0.05560302734375, 'embeddings_chosen': 0.000606536865234375, 'embeddings_rejected': 0.0001544952392578125, 'mean': -0.0032126237638294697, 'log_var': 0.004421941936016083, 'epoch': 0.01}
{'train_recon_loss': 0.6938213109970093, 'train_kld': 8.692085248185322e-05, 'train_accuracy': 0.25, 'rewards_chosen': -0.06982421875, 'rewards_rejected': -0.0684814453125, 'embeddings_chosen': 0.00012874603271484375, 'embeddings_rejected': 0.0003032684326171875, 'mean': -0.001734257792122662, 'log_var': 0.0037073465064167976, 'epoch': 0.01}
{'train_recon_loss': 0.692115306854248, 'train_kld': 0.00010513544111745432, 'train_accuracy': 0.5, 'rewards_chosen': -0.06451416015625, 'rewards_rejected': -0.06658935546875, 'embeddings_chosen': 0.0004138946533203125, 'embeddings_rejected': 7.390975952148438e-05, 'mean': -0.0028257789090275764, 'log_var': 0.0052881184965372086, 'epoch': 0.01}
{'train_recon_loss': 0.6914752721786499, 'train_kld': 9.46984946494922e-05, 'train_accuracy': 0.75, 'rewards_chosen': -0.06613397598266602, 'rewards_rejected': -0.06948530673980713, 'embeddings_chosen': 0.0002002716064453125, 'embeddings_rejected': 4.38690185546875e-05, 'mean': -0.0024766037240624428, 'log_var': 0.004596426617354155, 'epoch': 0.01}
{'train_recon_loss': 0.6938191652297974, 'train_kld': 0.00010815857240231708, 'train_accuracy': 0.25, 'rewards_chosen': -0.049774169921875, 'rewards_rejected': -0.048431396484375, 'embeddings_chosen': 0.0003662109375, 'embeddings_rejected': 0.000179290771484375, 'mean': -0.004018590785562992, 'log_var': 0.005352283827960491, 'epoch': 0.01}
{'train_recon_loss': 0.6930743455886841, 'train_kld': 9.492253593634814e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.0552978515625, 'rewards_rejected': -0.055450439453125, 'embeddings_chosen': 0.00012159347534179688, 'embeddings_rejected': 0.000518798828125, 'mean': -0.003518882906064391, 'log_var': 0.002810921985656023, 'epoch': 0.01}
{'train_recon_loss': 0.6926313638687134, 'train_kld': 9.852008224697784e-05, 'train_accuracy': 0.75, 'rewards_chosen': -0.060546875, 'rewards_rejected': -0.06158447265625, 'embeddings_chosen': 0.0001735687255859375, 'embeddings_rejected': 0.00022220611572265625, 'mean': -0.0022168061695992947, 'log_var': 0.005640875548124313, 'epoch': 0.01}
{'train_recon_loss': 0.6927282810211182, 'train_kld': 9.857734403340146e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.050262451171875, 'rewards_rejected': -0.0511016845703125, 'embeddings_chosen': 0.000339508056640625, 'embeddings_rejected': 0.00019550323486328125, 'mean': -0.0023677190765738487, 'log_var': 0.004708107095211744, 'epoch': 0.01}
{'train_recon_loss': 0.6920675039291382, 'train_kld': 9.462550224270672e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.025177001953125, 'rewards_rejected': -0.02734375, 'embeddings_chosen': 0.000347137451171875, 'embeddings_rejected': 0.00023555755615234375, 'mean': -0.0036537321284413338, 'log_var': 0.00437462143599987, 'epoch': 0.01}
{'train_recon_loss': 0.6951146125793457, 'train_kld': 0.00010175311035709456, 'train_accuracy': 0.5, 'rewards_chosen': -0.07586669921875, 'rewards_rejected': -0.07196044921875, 'embeddings_chosen': 0.0003032684326171875, 'embeddings_rejected': 0.000164031982421875, 'mean': -0.0016790791414678097, 'log_var': 0.004186906851828098, 'epoch': 0.01}
{'train_recon_loss': 0.6905294060707092, 'train_kld': 0.000103777289041318, 'train_accuracy': 1.0, 'rewards_chosen': -0.03729248046875, 'rewards_rejected': -0.04254150390625, 'embeddings_chosen': 0.000537872314453125, 'embeddings_rejected': 0.0003948211669921875, 'mean': -0.002380254678428173, 'log_var': 0.004947061184793711, 'epoch': 0.01}
{'train_recon_loss': 0.6925593614578247, 'train_kld': 0.00010102909436682239, 'train_accuracy': 0.5, 'rewards_chosen': -0.057220458984375, 'rewards_rejected': -0.05841064453125, 'embeddings_chosen': 0.0003376007080078125, 'embeddings_rejected': 0.0002880096435546875, 'mean': -0.0028383852913975716, 'log_var': 0.005609819199889898, 'epoch': 0.01}
{'train_recon_loss': 0.6892210841178894, 'train_kld': 0.0001212875940836966, 'train_accuracy': 0.75, 'rewards_chosen': -0.064117431640625, 'rewards_rejected': -0.072021484375, 'embeddings_chosen': 0.000484466552734375, 'embeddings_rejected': 0.000659942626953125, 'mean': -0.0029107010923326015, 'log_var': 0.004670226946473122, 'epoch': 0.01}
{'train_recon_loss': 0.6926464438438416, 'train_kld': 9.622680227039382e-05, 'train_accuracy': 0.25, 'rewards_chosen': -0.067108154296875, 'rewards_rejected': -0.0681304931640625, 'embeddings_chosen': 0.00041961669921875, 'embeddings_rejected': 0.0001735687255859375, 'mean': -0.0025714337825775146, 'log_var': 0.0047843800857663155, 'epoch': 0.01}
{'train_recon_loss': 0.6931574940681458, 'train_kld': 9.641781070968136e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.0316619873046875, 'rewards_rejected': -0.03164196014404297, 'embeddings_chosen': 0.000209808349609375, 'embeddings_rejected': 0.000396728515625, 'mean': -0.0038193585351109505, 'log_var': 0.0032778994645923376, 'epoch': 0.01}
{'train_recon_loss': 0.6933256387710571, 'train_kld': 9.607493120711297e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.029605865478515625, 'rewards_rejected': -0.029296875, 'embeddings_chosen': 0.0002079010009765625, 'embeddings_rejected': 0.000476837158203125, 'mean': -0.0034305567387491465, 'log_var': 0.004315313883125782, 'epoch': 0.01}
{'train_recon_loss': 0.6907486915588379, 'train_kld': 9.608985419617966e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.062255859375, 'rewards_rejected': -0.06707763671875, 'embeddings_chosen': 0.00022602081298828125, 'embeddings_rejected': 0.00013828277587890625, 'mean': -0.002630913397297263, 'log_var': 0.004261766094714403, 'epoch': 0.01}
{'train_recon_loss': 0.6923096179962158, 'train_kld': 0.00010704753367463127, 'train_accuracy': 0.5, 'rewards_chosen': -0.05224609375, 'rewards_rejected': -0.053924560546875, 'embeddings_chosen': 0.0001239776611328125, 'embeddings_rejected': 0.00018787384033203125, 'mean': -0.003998362459242344, 'log_var': 0.00477388221770525, 'epoch': 0.01}
{'train_recon_loss': 0.6917182207107544, 'train_kld': 9.728609438752756e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.07452392578125, 'rewards_rejected': -0.077392578125, 'embeddings_chosen': 0.0004520416259765625, 'embeddings_rejected': 0.0004329681396484375, 'mean': -0.0023735612630844116, 'log_var': 0.0060484157875180244, 'epoch': 0.01}
{'train_recon_loss': 0.6955375671386719, 'train_kld': 9.396146197104827e-05, 'train_accuracy': 0.5, 'rewards_chosen': -0.0885009765625, 'rewards_rejected': -0.083740234375, 'embeddings_chosen': 8.296966552734375e-05, 'embeddings_rejected': 4.5299530029296875e-05, 'mean': -0.00281309662386775, 'log_var': 0.0045710341073572636, 'epoch': 0.01}
{'train_recon_loss': 0.6920641660690308, 'train_kld': 0.00011224913032492623, 'train_accuracy': 0.5, 'rewards_chosen': -0.066650390625, 'rewards_rejected': -0.06884765625, 'embeddings_chosen': 0.000446319580078125, 'embeddings_rejected': 0.00035858154296875, 'mean': -0.00432784017175436, 'log_var': 0.0034050303511321545, 'epoch': 0.01}
{'train_recon_loss': 0.6945229172706604, 'train_kld': 0.00010462484351592138, 'train_accuracy': 0.25, 'rewards_chosen': -0.0626220703125, 'rewards_rejected': -0.05987548828125, 'embeddings_chosen': 0.00021839141845703125, 'embeddings_rejected': 0.0003032684326171875, 'mean': -0.003483482636511326, 'log_var': 0.004546944983303547, 'epoch': 0.01}
